ResponsibleDepartment,Reason,Notes
Data Entry Misc,Billing Error,"P5 PRICE PLAN SHOULD NOT BE USED FOR HOUSE STOCK.  P5 IS FOR PT.'S ONLY.  "
Data Entry,Billing Error,"LF 02/21 SHOULD OF PROFILED "
Data Entry,Billing Error,TWO BILLED SAME DATE
Data Entry,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  UNIVERSITY FAMILY CARE PAYS.
Billing,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT
Billing,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PT.  UHC PAYS.
Data Entry,HOA/FREQUENCY/FILL LIST,USED 3D INSTEAD OF 2D
Data Entry,Billing Error,DOCUMENT COMPLETED WITH REJECTIONS PENDING
Pharmacist,Procedure,DOCUMENT NEVER SENT TO ER. REJECTION MISSED
Data Entry,Triage - Doc Type,"MARKED DAILY, DOC DIDNT MAKE IT TO ER, REJECTIONS NOT ADDRESSED"
Pharmacist,Procedure,"DOCUMENT IS CF, NEVER SENT TO ER. REJECTION NOT ADDRESSED D/T THIS"
Fulfillment SYNMED,Drug/Strength (FF),JUMPED INTO WRONG CARD
Data Entry,Billing Error,"PREVIOUS PHARMACY SHOULD HAVE BEEN CALLED TO REVERSE CLAIM INSTEAD OF FMMF "
Data Entry,Procedure,CF REFILLS NOT SENT TO ER
Data Entry Misc,HOA/FREQUENCY/FILL LIST,"USED SUPP WITH FREQ X- FOR A BLOOD SUGAR CHECK ORDER - FAC HAS NO WAY TO RECORD "
Data Entry,Triage,HOA
Fulfillment DLY,Label Issue,MONOGRAPH LABEL FAX THING
Fulfillment FLOAT,Label Issue,FAX MONOGRAPH
Fulfillment DLY,Label Issue,MONOGRAPH FAX
Data Entry Phone Team,Wrong Batch,WRONG RUN TIME
Fulfillment DLY,Label Issue,FAX MONOGRAPH
Pharmacist,Other,DRUG DOESNT EXIST. NOT AN ERROR
Billing,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT. UNIVERSITY FAMILY CARE PAYS. THE BILLING MATRIX WAS INCORRECT. UNIVERSITY FAM CARE NEEDS TO BE ON A LINE ON ITS OWN.
Billing,Procedure,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE BOTH LEFT BLANK UPON ADMITTING.  MATT MEDDERS SAID THAT SOMETHING MUST BE IN THOSE FIELDS EVEN IF WE DON'T HAVE THE INSURANCE INFO. ALL MEDS DEFAULTED AS U&C AND WENT OUT THE DOOR.
Data Entry,Refill Request,NO INFO ON WHAT NEEDS TO BE REFILLED
Data Entry,Document Error,"THIS PATIENT SHOULD HAVE BEEN DISCHARGED. THEY WERE MOVING TO SNF FACILITY "
Data Entry Misc,Other,"SHE VOIDED CLAIM ON 02/24/20 SHE DID NOT REVERSE CLAIM FROM INS WHILE I WAS WORKING ON CLAIM FOR CYCLE FILL ON 02/25/20 THAT IS WHEN I NOTICE THE OTHER CLAIM THE WAS VOIDED WAS STILL PAID MHC "
Billing,Billing Error,OTC'S FOR ZNM1 GETS BROOKDALE CASH PRICING SINCE THIS IS NOT COVERED BY MERCY CARE AHCCCS.  (OTC WAS BILLED TO THE EXTENDED CARE PRICE PLAN).
Billing,Matrix Error,THIS BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.
Billing,Procedure,"NO HOSPICE COPY "
Data Entry,Procedure,PROFILE
Fulfillment CF,Label Issue,FAX MONOGRAPH
Billing,Billing Error,REFUND CHARGE NOT POSTED IN OCTOBER 2019.
Pharmacist,Procedure,LABEL NOT SCANNED
Billing,Procedure,FAX MONOGRAPH
Fulfillment SYNMED,Quantity,FIXED BACKSCREEN
Data Entry,Procedure,DIDN'T USE MOST RECENT MED LIST
Fulfillment DLY,Label Issue,FAX MONOGRAPH
Fulfillment DLY,Drug/Strength (FF),I MESSED UP AND PUT THIS ON DANI AT FIRST
Fulfillment DLY,Label Not Scanned,I MESSED UP AND PUT THIS ON DANI AT FIRST
Data Entry,HOA/FREQUENCY/FILL LIST,STOP DATE
Data Entry,Other,STOP DATE
Data Entry,SIG/MULTI-SIG/DIRECTIONS,STOP DATE
Data Entry,Billing Error,WEST GETS P5 PRICING ON OTC'S.  (OTC WAS BILLED AS EXTENDED CARE).
Billing,Billing Error,SWHC GETS P5 PRICING FOR OTC'S.  (THIS OTC WAS BILLED AS EXTENDED CARE PRICING).
Billing,Matrix Error,THE BILLING MATRIX FOR UHC AS SECONDARY WAS NOT SET UP CORRECTLY.
Billing,Procedure,"RX NEEDS A PA.  BDM SENT A 15 DAYS SUPPLY AS COMPLIMENTARY, BUT DID NOT START THE PA PROCESS."
Billing,Matrix Error,"I KNOW THAT CIGNA COMMERCIAL IS NOT A MEDICARE PART D PLAN, BUT FOR SOME REASON THE BILLING MATRIX NEEDS TO BE SET UP AS MED D/DUAL IN ORDER FOR THE OTC'S TO BILL PROPERLY.  SINCE ""INSURANCE"" WAS IN THE MATRIX, ALL OTC'S WERE DEFAULTING AS EXTENDED CARE.  MERCY CARE AHCCCS PAYS FOR THEM. "
Pharmacist,Procedure,"NO HOSPICE INFO "
Data Entry,Triage - Missed D/C,FLONASE
Data Entry,Document Error,"SENT TO COMPLETE "
Data Entry,Document Error,"DOC SENT TO COMPLETE
"
Data Entry,HOA/FREQUENCY/FILL LIST,EMAR DAYS OF THE WEEK
Fulfillment DLY,Procedure (FF),NO BACKSTAMP ON C2
Fulfillment DLY,Packaging,SHOULD BE 2/BUBBLE
Fulfillment DLY,Label Issue,NO C STAMP ON A C2
Data Entry,Quantity,5/BOX AND WE DON'T BREAK THEM.  NEEDS TO BE IN MULTIPLES OF 5
Fulfillment DLY,Label Issue,MISSING PART OF SPLIT-SIG
Fulfillment DLY,Label Not Scanned,TX VOIDED
Fulfillment DLY,Quantity,SHOULD BE 3 PER BUBBLE
Data Entry,Procedure,DOC COMPLETED
Fulfillment DLY,Label Issue,145 MUST IN 645 BIN.
Data Entry,Document Error,SAT DOESN'T HAVE A YT 945 - ALSO THERE WAS A YT BATCH WITH NO DOCUMENT IN DAILIES Q
Data Entry,Wrong Batch,SAT DOESN'T HAVE A YT 945 - ALSO THERE WAS A YT BATCH WITH NO DOCUMENT IN DAILIES Q
Fulfillment DLY,Procedure (FF),UNBATCHED ZN PLACED IN 645 BIN.  ZNS DON'T GO 645 WITHOUT A YT
Data Entry,Billing Error,WAS BILLED REFILLS-CYCLE INSTEAD OF MISSING MED ACCORDING TO THE DOC
Pharmacist,Procedure,DOCUMENT NEVER SENT TO ER
Data Entry,Procedure,OTC
Fulfillment DLY,Packaging,CRISIS IN VIALS
Fulfillment DLY,Packaging,ALF LIKE SNF
Fulfillment DLY,Packaging,DISPILL HOME LIKE ALF
Data Entry,Procedure,DOC COMPLETED
Data Entry,Procedure,NO QS1 NOTE ON GREEN BAG HC LOCATION
Data Entry,Procedure,NO QS1 NOTE ON GREEN BAG HC LOCATION
Fulfillment DLY,Label Issue,545AM MED PUT IN 645 BIN
Fulfillment DLY,Label Issue,MISSED STAT BATCH.  MED IN 1145 BIN AND MISSED STAT TIME
Fulfillment DLY,Packaging,SHOULD BE 2/BUBBLE
Fulfillment DLY,Procedure (FF),NO BACKSTAMP ON A C2 RX
Data Entry Misc,Document Error,IV FLOW SHEET TICKLE DATE NOT ADJUSTED
Data Entry Misc,Document Error,IV FLOW SHEET TICKLE DATE NOT ADJUSTED
Data Entry Misc,Document Not Associated,IV FLOW SHEET TICKLE DATE NOT ADJUSTED
Data Entry Misc,Document Error,IV FLOW SHEET TICKLE DATE NOT ADJUSTED
Data Entry Misc,Document Error,IV FLOW SHEET NOT TICKLED FOR NEXT FILL DATE
Data Entry,Document Error,"MED NEEDED STAT, BUT NO DOCUMENT IN DAILY Q."
Data Entry,Wrong Batch,ATP DOES NOT GO 145 SUN
Data Entry,Wrong Batch,TUNGLAND DOES NOT GO WEEKENDS WITHOUT A YT.
Data Entry,Wrong Batch,TUNGLAND DOESN'T GO WEEKENDS WITHOUT A YT
Data Entry,Wrong Batch,AZ PIONEERS HOME DOES NOT GO ON THE 145 WEEKEND.
Data Entry Misc,Wrong Batch,TUNGLAND DOESN'T GO WEEKEND WITHOUT A YT
Data Entry Misc,Wrong Batch,TUNGLAND DOESNT GO WEEKENDS WITHOUT A YT
Data Entry,Wrong Batch,TUNGLAND DOESN'T GO WEEKEND WITHOUT A YT
Data Entry,Wrong Batch,TUNGLAND DOES NOT GO WEEKENDS WITHOUT A YT
Fulfillment DLY,Label Issue,WRONG BATCH FOR BIN COLOR
Fulfillment CF,Drug/Strength (FF),WRONG LANCETS - FILLED SAFTEY INSTEAD OF EASY TWIST
Fulfillment DLY,Label Issue,WRONG BIN COLOR FOR BATCH
Data Entry Phone Team,Wrong Batch,VWAL CAN GO 645.  MED BATCHED 545 MON
Fulfillment DLY,Extra/Missing Pill(s),JUMPER
Data Entry Phone Team,Wrong Batch,ZONES DON'T GO 645 UNLESS YT.  LABEL BATCHED 645 (DOC WAS MARKED 545)
Fulfillment DLY,Label Issue,"CRISIS IN A VIAL - PT PREF SAID ""VIAL"""
Fulfillment DLY,Packaging,"CRISIS IN A VIAL - PT PREF SAID ""VIAL"""
Fulfillment DLY,Packaging,CRISIS IN A VAIL
Fulfillment CF,Missing Drug (FF),MISSING DRUG AND CASSETTE
Fulfillment CF,Label Issue,CASSETTE NUMBER
Fulfillment PA,Label Issue,CASSETTE NUMBER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Label Issue,UNSIGNED HANDFILL
Fulfillment SYNMED,Label Issue,UNSIGNED HANDFILL
Fulfillment SYNMED,Label Issue,NDC NOT HIGHLIGHTED
Fulfillment SYNMED,Label Issue,NDC NOT HIGHLIGHTED
Fulfillment SYNMED,Label Issue,NDC NOT HIGHLIGHTED
Fulfillment SYNMED,Label Issue,NDC NOT HIGHLIGHTED
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment SYNMED,Packaging,BACKSCREEN ISSUE
Fulfillment SYNMED,Packaging,BACKSCREEN ISSUE
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Fulfillment SYNMED,Packaging,CARDS NOT SEALED PROPERLY
Billing,Billing Error,BILLED COMP - CLAIM WAS PROCESSED TO CRK-BLUE (MED D) AND IT PAID
Data Entry Phone Team,Procedure,ATCF DOCUMENTS GO STRAIGHT TO CHANGES UNLESS NEEDING OG ORDER
Data Entry,Invalid payor / code (TEST),"THE PRIMARY INSURANCE WAS LEFT AS ""MISSING MED"" AFTER BILLING A 5 DAYS SUPPLY."
Data Entry,Invalid payor / code (TEST),MISSING MED WAS LEFT IN THE PRIMARY INSURANCE FIELD AFTER A 3 DAYS SUPPLY WAS BILLED
Billing,Billing Error,SWHC GETS P5 PRICING ON OTC'S.  (THIS WAS BILLED AS EXTENDED CARE PRICING).
Billing,Billing Error,"RX WAS BILLED TO THE BELLA VITA PRICE PLAN, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S."
Data Entry,Billing Error,HECA GETS P5 PRICING ON OTC'S.  (THIS WAS BILLED AS EXTENDED CARE).
Billing,Billing Error,VP GETS P5 PRICING ON OTC'S. (THIS WAS BILLED AS EXTENDED CARE PRICING).
Data Entry,Billing Error,VACCINES GET ACQUISITION+25% FOR HOUSE STOCK FOR ALL FACILITIES.
Billing,Procedure,"NO HOSPICE COPY "
Data Entry,HOA/FREQUENCY/FILL LIST,"MUST USE W/B FOR PAIN HOA'S ON NARCS "
Billing,Billing Error,MEDICATION REQUIRES A PRIOR AUTH - MEDICATION BILLED COMP AND NO PRIOR AUTH WAS REQUESTED
Billing,Procedure,MEDICATION REQUIRES A PRIOR AUTH - MEDICATION BILLED COMP AND NO PRIOR AUTH WAS REQUESTED
Billing,Procedure,REFILL REQUEST DOCUMENT MADE AND LEFT IN TRIAGE
Data Entry Phone Team,Triage - Incorrect # CHG,"DECREASE, NOTES SAY ""NEW SIG"""
Medical Records,SIG/MULTI-SIG/DIRECTIONS,CHEW
Billing,Billing Error,BROOKDALE HOMES RECEIVE BROOKDALE CASH PRICING FOR NOT COVERED OTC'S.
Data Entry Misc,Billing Error,INSURANCE PLANS WERE NOT ATTEMPTED.  MERCY CARE PAYS FOR THIS.
Data Entry,Invalid payor / code (TEST),"""MISSING MED"" WAS LEFT IN THE PRIMARY INSURANCE FIELD AFTER BILLING A 1 DAY SUPPLY.  THE INSURANCE PLAN WAS NOT FLIPPED BACK TO INGENIO RX."
Data Entry,Invalid payor / code (TEST),"""MISSING MED"" WAS LEFT IN THE PRIMARY INSURANCE FIELD AFTER BILLING A 2 DAYS SUPPLY."
Billing,New Admit Process,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE BOTH LEFT BLANK CAUSING 16 CLAIMS TO BILL TO THE U&C PRICE PLAN.
Billing,Billing Error,BGAL GETS P5 PRICING ON OTC'S.  CLAIM WAS BILLED AS EXTENDED CARE.
Billing,Billing Error,SWHC GETS P5 PRICING ON OTC'S.  (CLAIM WAS BILLED AS EXTENDED CARE PRICING).
Billing,Matrix Error,MATRIX WAS IN AS MED D/DUAL WITH MERCY CARE SMI IN THE SECONDARY PAYOR WHEN THERE ISN'T MERCY CARE RBHA IN HIS INSURANCE PROFILE.  MATRIX SHOULD HAVE BEEN MED D/DUAL WITH MERCY CARE NON SMI IN THE SECONDARY PAYOR FIELD.
Billing,Procedure,"MED CHANGED BY TRAINEE. PER NPS THIS IS NOT APPROVED "
Data Entry,Doctor/MDO (Order),INCORRECT MD
Pharmacist,Doctor/MDO (Order),INCORRECT MD
Billing,Procedure,NO HOSPICE COPY
Billing,New Admit Process,PUT THE WRONG FIRST NAME ALEX WHEN IT WAS SUPPOSED TO AARON
Data Entry,Date Written,"
"
Billing,Charge Account,"THE SUNVIEW PRICE PLAN WAS BILLED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S.  SINCE WE ARE BILLING THE FACILITY FOR IT, WE NEED TO MAKE SURE THAT THE FACILITY'S CHARGE ACCOUNT IS SELECTED AS WELL."
Data Entry,Billing Error,BGAL GETS P5 PRICING ON OTC'S.  (THIS CLAIM WAS BILLED AS EXTENDED CARE PRICING).
Data Entry,Billing Error,LF 02/28
Billing,Procedure,"PA STARTED UNDER INCORRECT MD "
Billing,Procedure,"NO HOSPICE COPY "
Fulfillment CF,Label Issue,FAX MONOGRAPH
Fulfillment FLOAT,Label Issue,FAX MONOGRAPH
Fulfillment DLY,Label Issue,FAX MONOGRAPH
Billing,Billing Error,BILLING AGREEMENT WITH FINANCIAL INFO WAS NOT UNSTAPLED AND PLACED IN FINANCE QUEUE.
Fulfillment DLY,Label Issue,FAX MONOGRAPH
Billing,Charge Account,MISSING BILLING MATRIX
Fulfillment CF,Label Issue,FAX MONOGRAPH
Billing,Billing Error,FVHC GETS P5 PRICING ON OTC'S. (OTC WAS BILLED AS EXTENDED CARE).
Data Entry,Billing Error,s5 RECEIVES P5 PRICING FOR OTC'S. (OTC WAS BILLED AS EXTENDED CARE PRICING).
Data Entry,Billing Error,BTMC GETS P5 PRICING ON OTC'S.  (OTC WAS BILLED AS EXTENDED CARE PRICING).
Data Entry,Triage,WRONG PATIENT
Data Entry,HOA/FREQUENCY/FILL LIST,NKFV - ALL CRM'S & OIN FREQ=T FOR TAR
Data Entry,HOA/FREQUENCY/FILL LIST,"NKFV- ALL CRM'S/ OINT FREQ=T FOR TREATMENT SHEET "
Data Entry,Billing Error,CLAIM VOIDED WITH NO NOTES AS TO WHY
Medical Records,Document Error,10.6 DOCUMENT WAS LOADED AND UPDATED TO THE INCORRECT PATIENT; THIS WAS ONLY CAUGHT WHEN I WENT TO GO DOUBLE CHECK THE PATIENTS INS INFO AFTER I HAD DC/TRX/ADMITTED THE PATIENT REALIZED THE ACCOUNT BELONGED TO SOMEONE ELSE
Data Entry,Triage,HOA
Data Entry,HOA/FREQUENCY/FILL LIST,PRN/SCHEDULED
Fulfillment CF,Packaging,DIRECTIONS CALL FOR PC
Fulfillment CF,Packaging,ATP NEEDS A WORK DOSE WHEN CALLED FOR
Fulfillment CF,Procedure (FF),NDC NOT HIGHLIGHTED
Fulfillment CF,Procedure (FF),NDC NOT HIGHLIGHTED
Fulfillment CF,Label Issue,med in wrong cassette
Fulfillment CF,Missing Drug (FF),med in wrong cassette
Data Entry,Wrong Batch,zones don't go 945 without a yt
Fulfillment DLY,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Extra/Missing Pill(s),broken
Fulfillment SYNMED,Extra/Missing Pill(s),broken
Fulfillment SYNMED,Extra/Missing Pill(s),missing
Fulfillment SYNMED,Extra/Missing Pill(s),missing
Fulfillment SYNMED,Label Issue,no drug description
Fulfillment SYNMED,Label Issue,no drug description
Fulfillment SYNMED,Label Issue,no drug description
Fulfillment SYNMED,Label Issue,no drug description
Fulfillment SYNMED,Label Issue,no drug description
Fulfillment SYNMED,Label Issue,handfill not signed
Fulfillment SYNMED,Packaging,foil in bubble
Fulfillment SYNMED,Drug/Strength (FF),mixed meds in card
Fulfillment SYNMED,Drug/Strength (FF),mixed meds in card
Fulfillment DLY,Packaging,14 DAY ALL GOES IN 1 CARD LIKE A SNF
Fulfillment DLY,Packaging,ALF LIKE SNF
Fulfillment DLY,Extra/Missing Pill(s),BROKEN TAB
Data Entry Misc,ICD,"
"
Fulfillment DLY,Packaging,RTP IN PC
Data Entry Misc,Wrong Batch,"SHOULD HAVE BEEN STAT, BUT BATCHED 245 SUN"
Fulfillment DLY,Quantity,3ML VS 10ML INSULIN VIAL
Fulfillment DLY,Label Issue,MISSED SPLIT SIG
Data Entry,Quantity,NEEDS TO BE RUN FOR PACKAGE SIZE AS WE DONT BREAK CREAM TUBES
Data Entry,Wrong Batch,"ASCEND DOESN'T GET 645 "
Data Entry,Wrong Batch,THERE IS NO 145 MON RUN.
Data Entry Misc,Procedure,DIDN'T CHANGE TICKLE DATE ON IV FLOWSHEET
Fulfillment CHG,Label Issue,DATE ON LABEL DOESN'T MATCH OPUS CELL PLACEMENT
Fulfillment CHG,Drug/Strength (FF),SHOULD BE 50MG CAPS
Fulfillment CHG,Label Issue,WRONG TIME STICKER
Fulfillment DLY,Patient (FF),MIXED PTS
Data Entry Misc,Billing Error,OTC WAS CASHED OUT FOR AHCCCS PATIENT.  MERCY CARE PAYS.  MERCY CARE WAS NOT ATTEMPTED.
Data Entry,Billing Error,BROOKDALE HOMES RECEIVE BROOKDALE CASH ON OTC'S
Pharmacist,Procedure,DOCUMENT WASNT SENT TO ER. MEDS MISSED RUN
Data Entry,Billing Error,DOC COMPLETED WITH REJ IN QS1
Data Entry,Procedure,"REFILLS AUTHORIZED, DOC LEFT IN TRIAGE INSTEAD OF MOVED TO REFILL QUEUE"
Billing,Procedure,"NO HOSPICE COPY "
Billing Collections,Billing Error,LISTED PAYMENT AMOUNT INCORRECTLY - FINANCE PROCESSED CC AMT INCORRECTLY
Data Entry,Billing Error,ZBW1 GETS BROOKDALE CASH PRICING ON OTC'S. (CLAIM WAS BILLED AS EXTENDED CARE PRICING).
Data Entry,HOA/FREQUENCY/FILL LIST,"USED SUPP HOA FOR BLOOD SUGAR CHECK - NEEDS TO PRINT ON MAR  (2DAC) "
Billing,Billing Error,NKFV DOES NOT GET P5 PRICING ON OTC'S.
Billing,Billing Error,MISAPPLIED FACILITY CHECK SB AO1A NOT AO1M
Billing,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT. UHC PAYS. THE BILLING MATRIX NEEDED TO BE CORRECTED.
Billing,Billing Error,"THE SUNVIEW PRICE PLAN WAS SELECTED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S."
Billing,Charge Account,"THE SUNVIEW PRICE PLAN WAS SELECTED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S."
Billing,Billing Error,"THE SUNVIEW PRICE PLAN WAS BILLED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S."
Billing,Charge Account,"THE SUNVIEW PRICE PLAN WAS BILLED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S."
Billing,Procedure,"BILLED TO EXTENDED AND FRONT SCREEN NOTES STATE NOT TO SEND NON-COVERED MEDS "
Data Entry,Triage,"TECH PUT ""PT DC'D IN QS1"" BUT PT  HAS BEEN ACTIVE SINCE 2/16/19 SO NOT SURE WHERE THEY SAW D/C"
Pharmacist,Wrong Batch,WRONG PRIORITY
Billing,Procedure,"NO MISSING MED FORM SENT "
Data Entry,Procedure,> SYMBOL USED
Data Entry,Procedure,"CF PORTION NOT BILLED, NOT DOC MADE TO BILL CF"
Data Entry Misc,Procedure,RECAP ON FILE
Data Entry,Billing Error,BGMC GETS P5 PRICING ON OTC'S.  (OTC WAS BILLED AS EXTENDED CARE).
Data Entry Misc,Billing Error,BGAL RECEIVES P5 PRICING ON OTC'S.  (OTC WAS BILLED AS EXTENDED CARE PRICING).
Data Entry,Billing Error,"SINCE WE ARE BILLING THE FACILITY'S CHARGE ACCOUNT, WE NEED TO BILL SIERRA WINDS' PRICE PLAN"
Data Entry,Billing Error,"SINCE WE ARE BILLING THE FACILITY'S CHARGE ACCOUNT, WE NEED TO BILL SIERRA WINDS' PRICE PLAN"
Pharmacist,Billing Error,THE SALIBA'S DISCOUNT PRICE PLAN SHOULD NOT BE USED ON HOUSE STOCK ITEMS. APLISOL GETS ACQ+25 PRICING.
Data Entry,EMAR,FYI
Data Entry,HOA/FREQUENCY/FILL LIST,FYI
Data Entry,Procedure,OTC WAS PLACED ON CYCLE FILL FOR AN AHCCCS PATIENT.
Billing,Matrix Error,BOTH MED D/DUAL AND MED D/PRIVATE WERE ACTIVE.  THE PRIVATE LINE DID NOT HAVE AN EXPIRATION DATE IN THE FIELD.
Data Entry,SIG/MULTI-SIG/DIRECTIONS,SPELLING
Data Entry,Triage,HOA
Medical Records,Billing Error,REV/VOID CLAIM FROM PRIOR MONTH - THE CHARGE WAS NOT SUBMITTED FOR CREDIT
Billing,Other,"I FORGOT TO BUBBLE SOMEONE "
Billing,Billing Error,NOV CHECK PAYMENT POSTED TO WRONG ACCOUNT
Pharmacist,Drug,MED SHOULD HAVE BEEN ENTERED AND PLACED ON PROFILE AS IT IS REFILL TOO SOON BY 16 DAYS
Fulfillment DLY,Procedure (FF),NO BACKSTAMP ON C2 PAPERWORK
Fulfillment DLY,Extra/Missing Pill(s),BROKEN
Data Entry,Billing Error,DOC COMPLETED WITH REJ IN QS1
Data Entry,Billing Error,COMPLETED WITH REJ
Data Entry,Billing Error,COMPLETED WITH REJ IN QS1
Pharmacist,Procedure,DOCUMENT NEVER SENT TO ER
Data Entry,Wrong Batch,TUNGLAND WILL NOT GO WEEKENDS WITHOUT A YT
Data Entry,Wrong Batch,NO WEEKENDS FOR TUNGLAND WITHOUT A YT
Data Entry,Allergy,TECH DID NOT INPUT ALLERGIES INTO ADDITIONAL FIELD AT BOTTOM
Fulfillment DLY,Packaging,SHOULD BE 1/2 TABS
Fulfillment DLY,Extra/Missing Pill(s),CRUSHED TAB
Fulfillment DLY,Quantity,DISPENSED A BROKEN BOX INSTEAD OF SEALED BOX
Data Entry,Missed Order,completed doc w/o sending to rph
Fulfillment,Packaging,incorrect time stickers
Fulfillment DLY,Label Issue,MISSED SPLIT LABEL - NARC
Data Entry Misc,Wrong Batch,TUNGLAND DOESN'T GO WEEKEND WITHOUT A YT BATCH
Data Entry,Wrong Batch,TUNGLAND DOESN'T GO WEEKEND WITHOUT A YT BATCH
Data Entry,Wrong Batch,TUNGLAND DOESN'T GO WEEKEND WITHOUT A YT BATCH
Pharmacist,Procedure,"RIGHT BATCH, WRONG BIN COLOR-DOSIS FILL "
Pharmacist,Procedure,"RIGHT BATCH, WRONG BIN COLOR-DOSIS FILL "
Pharmacist,Procedure,"RIGHT BATCH, WRONG BIN COLOR-DOSIS FILL "
Pharmacist,Procedure,"RIGHT BATCH, WRONG BIN COLOR-DOSIS FILL "
Fulfillment DLY,Procedure (FF),RIGHT BATCH - WRONG BIN COLOR FOR BATCH
Data Entry,Wrong Batch,ZONESDONT GO 645 WITHOUT A YT BATCH
Data Entry,Wrong Batch,ZONESDONT GO 645 WITHOUT A YT BATCH
Data Entry Phone Team,Wrong Batch,945 ZN NEEDS A YT
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),BROKEN
Fulfillment SYNMED,Extra/Missing Pill(s),BROKEN
Fulfillment SYNMED,Extra/Missing Pill(s),BROKEN
Fulfillment SYNMED,Extra/Missing Pill(s),EXTRA
Fulfillment SYNMED,Extra/Missing Pill(s),EXTRA
Fulfillment SYNMED,Extra/Missing Pill(s),EXTRA
Fulfillment SYNMED,Extra/Missing Pill(s),MISSING
Fulfillment SYNMED,Extra/Missing Pill(s),MISSING
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment SYNMED,Patient (FF),MIXED PTS
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
